,Time,V1_Avg [V],V2_Avg [V],V3_Avg [V],V12_Avg [V],V23_Avg [V],V31_Avg [V],freq_Avg [Hz],In_Avg [A],I1_Avg [A],I2_Avg [A],I3_Avg [A],AVG_I_Avg [A],Pt+_Avg [W],Eat+_Avg [Wh],P1+_Avg [W],P2+_Avg [W],P3+_Avg [W],AVG_P_Avg [W],Erti+_Avg [VARh],AVG_Q_Avg [VAR],St+_Avg [VA],Est+_Avg [VAh],Pfti+_Avg,Pftc+_Avg,dpfti+_Avg,dpftc+_Avg,thdV1_Avg [%],har01V1_Avg [V],har03V1_Avg [V],har05V1_Avg [V],har07V1_Avg [V],har09V1_Avg [V],har11V1_Avg [V],har13V1_Avg [V],har15V1_Avg [V],har17V1_Avg [V],har19V1_Avg [V],har21V1_Avg [V],har23V1_Avg [V],har25V1_Avg [V],har27V1_Avg [V],har29V1_Avg [V],har31V1_Avg [V],har33V1_Avg [V],har35V1_Avg [V],har37V1_Avg [V],har39V1_Avg [V],har41V1_Avg [V],har43V1_Avg [V],har45V1_Avg [V],har47V1_Avg [V],har49V1_Avg [V],thdV2_Avg [%],har01V2_Avg [V],har03V2_Avg [V],har05V2_Avg [V],har07V2_Avg [V],har09V2_Avg [V],har11V2_Avg [V],har13V2_Avg [V],har15V2_Avg [V],har17V2_Avg [V],har19V2_Avg [V],har21V2_Avg [V],har23V2_Avg [V],har25V2_Avg [V],har27V2_Avg [V],har29V2_Avg [V],har31V2_Avg [V],har33V2_Avg [V],har35V2_Avg [V],har37V2_Avg [V],har39V2_Avg [V],har41V2_Avg [V],har43V2_Avg [V],har45V2_Avg [V],har47V2_Avg [V],har49V2_Avg [V],thdV3_Avg [%],har01V3_Avg [V],har03V3_Avg [V],har05V3_Avg [V],har07V3_Avg [V],har09V3_Avg [V],har11V3_Avg [V],har13V3_Avg [V],har15V3_Avg [V],har17V3_Avg [V],har19V3_Avg [V],har21V3_Avg [V],har23V3_Avg [V],har25V3_Avg [V],har27V3_Avg [V],har29V3_Avg [V],har31V3_Avg [V],har33V3_Avg [V],har35V3_Avg [V],har37V3_Avg [V],har39V3_Avg [V],har41V3_Avg [V],har43V3_Avg [V],har45V3_Avg [V],har47V3_Avg [V],har49V3_Avg [V],thdVNPE_Avg [%],har01VNPE_Avg [V],har03VNPE_Avg [V],har05VNPE_Avg [V],har07VNPE_Avg [V],har09VNPE_Avg [V],har11VNPE_Avg [V],har13VNPE_Avg [V],har15VNPE_Avg [V],har17VNPE_Avg [V],har19VNPE_Avg [V],har21VNPE_Avg [V],har23VNPE_Avg [V],har25VNPE_Avg [V],har27VNPE_Avg [V],har29VNPE_Avg [V],har31VNPE_Avg [V],har33VNPE_Avg [V],har35VNPE_Avg [V],har37VNPE_Avg [V],har39VNPE_Avg [V],har41VNPE_Avg [V],har43VNPE_Avg [V],har45VNPE_Avg [V],har47VNPE_Avg [V],har49VNPE_Avg [V],thdI1_Avg [%],har01I1_Avg [A],har03I1_Avg [A],har05I1_Avg [A],har07I1_Avg [A],har09I1_Avg [A],har11I1_Avg [A],har13I1_Avg [A],har15I1_Avg [A],har17I1_Avg [A],har19I1_Avg [A],har21I1_Avg [A],har23I1_Avg [A],har25I1_Avg [A],har27I1_Avg [A],har29I1_Avg [A],har31I1_Avg [A],har33I1_Avg [A],har35I1_Avg [A],har37I1_Avg [A],har39I1_Avg [A],har41I1_Avg [A],har43I1_Avg [A],har45I1_Avg [A],har47I1_Avg [A],har49I1_Avg [A],thdI2_Avg [%],har01I2_Avg [A],har03I2_Avg [A],har05I2_Avg [A],har07I2_Avg [A],har09I2_Avg [A],har11I2_Avg [A],har13I2_Avg [A],har15I2_Avg [A],har17I2_Avg [A],har19I2_Avg [A],har21I2_Avg [A],har23I2_Avg [A],har25I2_Avg [A],har27I2_Avg [A],har29I2_Avg [A],har31I2_Avg [A],har33I2_Avg [A],har35I2_Avg [A],har37I2_Avg [A],har39I2_Avg [A],har41I2_Avg [A],har43I2_Avg [A],har45I2_Avg [A],har47I2_Avg [A],har49I2_Avg [A],thdI3_Avg [%],har01I3_Avg [A],har03I3_Avg [A],har05I3_Avg [A],har07I3_Avg [A],har09I3_Avg [A],har11I3_Avg [A],har13I3_Avg [A],har15I3_Avg [A],har17I3_Avg [A],har19I3_Avg [A],har21I3_Avg [A],har23I3_Avg [A],har25I3_Avg [A],har27I3_Avg [A],har29I3_Avg [A],har31I3_Avg [A],har33I3_Avg [A],har35I3_Avg [A],har37I3_Avg [A],har39I3_Avg [A],har41I3_Avg [A],har43I3_Avg [A],har45I3_Avg [A],har47I3_Avg [A],har49I3_Avg [A],thdINPE_Avg [%],har01INPE_Avg [A],har03INPE_Avg [A],har05INPE_Avg [A],har07INPE_Avg [A],har09INPE_Avg [A],har11INPE_Avg [A],har13INPE_Avg [A],har15INPE_Avg [A],har17INPE_Avg [A],har19INPE_Avg [A],har21INPE_Avg [A],har23INPE_Avg [A],har25INPE_Avg [A],har27INPE_Avg [A],har29INPE_Avg [A],har31INPE_Avg [A],har33INPE_Avg [A],har35INPE_Avg [A],har37INPE_Avg [A],har39INPE_Avg [A],har41INPE_Avg [A],har43INPE_Avg [A],har45INPE_Avg [A],har47INPE_Avg [A],har49INPE_Avg [A],u2_Avg [%],u0_Avg [%]
1,8/17/2023 5:06:00 PM,244.7,248.3,245.4,426.3,429.3,423.5,50.23,45.55,163.9,106.4,164.6,144.9667,106100,17683.33,39660,26710,40010,0,0,0,106100,17683.33,1,1,0.998,-1,2.174,244.6,-1.467,4.726,1.772,0.164,0.612,0.23,0.219,0.228,0.078,0.167,0.091,0.063,0.059,0.065,0.039,0.061,0.024,0.027,0.053,0.036,0.039,0.052,0.027,0.026,2.199,248.2,1.187,-3.521,1.882,1.08,0.593,0.276,0.288,0.099,0.112,0.053,0.095,0.046,0.025,0.088,0.051,0.035,0.011,0.039,0.03,0.015,0.028,0.012,0.03,0.03,1.942,245.4,0.736,4.328,1.669,0.387,0.566,0.139,0.099,0.232,0.058,0.089,0.117,0.041,0.045,0.055,0.045,0.023,0.041,0.033,0.014,0.028,0.017,0.024,0.016,0.013,9.494,0.376,-0.111,-0.051,0.036,-0.022,-0.021,0.021,0.024,0.017,0.025,0.022,0.008,0.018,0.008,0.009,0.012,0.01,0.005,0.01,0.009,0.006,0.005,0.006,0.006,0.005,6.643,163.1,-10.24,1.794,2.215,0.503,0.25,0.491,0.354,0.161,0.119,0.186,0.105,0.114,0.054,0.038,0.029,0.033,0.045,0.039,0.048,0.039,0.027,0.046,0.031,0.027,10.28,105.5,8.792,-2.169,4.373,3.107,0.245,0.625,0.553,0.159,0.235,0.082,0.1,0.18,0.039,0.105,0.047,0.046,0.033,0.027,0.04,0.027,0.023,0.033,0.028,0.034,7.167,163.1,10.55,3.318,2.452,1.262,0.682,0.419,0.17,0.179,0.245,0.164,0.182,0.043,0.081,0.064,0.083,0.031,0.059,0.043,0.024,0.019,0.035,0.044,0.034,0.022,56.86,29.2,4.524,0.428,0.922,1.025,0.098,0.081,0.439,0.085,0.148,0.118,0.079,0.026,0.1,0.076,0.038,0.071,0.023,0.046,0.025,0.02,0.032,0.024,0.047,0.049,0.796,0.309
2,8/17/2023 5:16:00 PM,243.7,247.2,244.2,424.7,427.2,421.5,50.22,43.4,150,97.13,146.6,131.2433,96450,33758.33,36210,23790,35490,0,698.3333,1396.667,96490,33765,0.997,1,0.998,-1,2.124,243.7,-1.441,4.258,1.78,0.24,0.572,0.295,0.227,0.213,0.08,0.167,0.074,0.047,0.074,0.079,0.032,0.061,0.042,0.035,0.057,0.058,0.037,0.041,0.024,0.013,2.164,247.1,1.135,-4.691,1.907,0.918,0.738,0.355,0.242,0.065,0.065,0.077,0.119,0.044,0.038,0.082,0.057,0.029,0.024,0.031,0.031,0.007,0.024,0.009,0.02,0.024,1.846,244.2,0.858,4.006,1.658,0.296,0.728,0.165,0.131,0.149,0.094,0.058,0.067,0.055,0.038,0.049,0.063,0.028,0.036,0.03,0.017,0.023,0.015,0.017,0.018,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906,149.3,-9.67,1.689,2.414,0.693,0.427,0.432,0.384,0.28,0.153,0.198,0.11,0.095,0.059,0.061,0.032,0.039,0.044,0.032,0.048,0.051,0.021,0.05,0.027,0.029,11.67,96.17,9.46,-3.03,4.082,2.647,0.423,0.631,0.42,0.166,0.181,0.127,0.129,0.152,0.043,0.084,0.051,0.05,0.03,0.03,0.033,0.024,0.022,0.038,0.028,0.034,8.288,145.3,11.26,2.78,1.62,1.175,1.009,0.384,0.207,0.14,0.264,0.108,0.149,0.057,0.072,0.074,0.085,0.057,0.059,0.031,0.02,0.019,0.037,0.042,0.027,0.024,63.4,36.43,21.92,2.871,1.36,2.798,0.424,0.175,0.478,0.076,0.137,0.081,0.082,0.025,0.113,0.071,0.031,0.06,0.023,0.051,0.019,0.024,0.032,0.018,0.054,0.04,0.78,0.287
3,8/17/2023 5:26:00 PM,243.9,247.3,245,424.4,427.9,423.1,50.2,56.03,167.7,84.52,135.2,129.14,94060,49435,40570,20700,32890,0,1555,1713.333,94120,49451.67,0.996,1,0.998,-1,2.137,243.9,-1.437,4.645,1.719,0.333,0.408,0.307,0.139,0.219,0.085,0.167,0.074,0.042,0.068,0.095,0.039,0.074,0.041,0.029,0.045,0.054,0.026,0.041,0.032,0.013,2.217,247.3,1.134,-4.902,1.829,0.724,0.851,0.237,0.158,0.095,0.032,0.057,0.112,0.068,0.04,0.078,0.068,0.042,0.046,0.011,0.016,0.019,0.012,0.013,0.024,0.022,1.93,244.9,0.951,2.056,1.77,0.268,0.657,0.127,0.171,0.23,0.061,0.084,0.054,0.064,0.055,0.042,0.062,0.043,0.027,0.031,0.024,0.024,0.015,0.027,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.439,167.1,-10.1,1.349,2.45,0.911,0.876,0.506,0.236,0.368,0.178,0.182,0.122,0.094,0.039,0.074,0.041,0.043,0.049,0.021,0.039,0.045,0.021,0.052,0.025,0.034,12.68,83.52,8.932,-3.286,3.707,2.034,0.666,0.531,0.23,0.099,0.182,0.119,0.13,0.178,0.049,0.092,0.072,0.071,0.027,0.026,0.033,0.02,0.022,0.039,0.038,0.031,9.543,134.1,12.23,1.436,1.552,1.126,0.993,0.177,0.287,0.313,0.162,0.06,0.132,0.07,0.08,0.089,0.08,0.074,0.047,0.037,0.026,0.031,0.032,0.034,0.022,0.033,44.67,50.84,21.99,2.323,1.67,2.479,0.292,0.203,0.378,0.101,0.137,0.058,0.063,0.029,0.123,0.075,0.022,0.062,0.027,0.054,0.02,0.028,0.025,0.018,0.05,0.036,0.684,0.378
4,8/17/2023 5:36:00 PM,243.3,246.5,244.1,423.3,426.4,421.6,50.15,51.27,174.5,100.3,148.6,141.1333,103900,66751.66,42730,25130,36050,0,1934.167,758.3333,103900,66768.34,0.998,1,0.999,0.999,2.183,243.2,-1.444,4.877,1.34,0.194,0.431,0.243,0.229,0.192,0.142,0.182,0.122,0.06,0.087,0.088,0.057,0.07,0.04,0.044,0.042,0.044,0.037,0.027,0.036,0.009,2.169,246.5,1.063,-4.887,1.461,0.761,0.843,0.099,0.124,0.084,0.067,0.079,0.106,0.094,0.021,0.082,0.057,0.034,0.048,0.015,0.017,0.012,0.017,0.022,0.035,0.026,1.987,244,0.909,3.574,1.352,0.181,0.842,0.174,0.066,0.151,0.124,0.101,0.059,0.083,0.045,0.035,0.051,0.041,0.031,0.047,0.03,0.028,0.02,0.033,0.028,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.279,173.7,-10.18,2.181,2.13,0.463,0.564,0.22,0.41,0.282,0.283,0.226,0.164,0.12,0.061,0.058,0.034,0.056,0.042,0.023,0.043,0.038,0.025,0.045,0.027,0.033,9.665,99.2,7.915,-3.128,2.738,2.191,0.833,0.463,0.192,0.126,0.267,0.142,0.124,0.204,0.031,0.088,0.069,0.075,0.032,0.03,0.038,0.024,0.029,0.045,0.046,0.035,8.42,147.6,12,0.971,1.197,0.828,1.115,0.347,0.196,0.218,0.208,0.085,0.11,0.109,0.068,0.061,0.076,0.068,0.051,0.046,0.03,0.028,0.033,0.034,0.024,0.037,49.39,45.73,21.33,1.095,1.437,2.161,0.246,0.214,0.455,0.105,0.126,0.136,0.05,0.033,0.12,0.067,0.03,0.068,0.028,0.049,0.019,0.019,0.023,0.019,0.046,0.029,0.675,0.348
5,8/17/2023 5:46:00 PM,244.2,247.1,244.8,424.8,427.3,422.9,50.17,44.61,161.1,99.73,138.7,133.1767,97440,82991.66,39460,24670,33750,0,2077.967,287.6,97440,83008.34,0.999,1,0.999,0.999,2.29,244.1,-1.42,5.178,1.353,0.165,0.446,0.248,0.259,0.22,0.155,0.217,0.14,0.103,0.096,0.094,0.063,0.078,0.027,0.047,0.049,0.031,0.036,0.03,0.024,0.014,2.271,247,1.121,-5.099,1.446,0.877,1.075,0.127,0.104,0.11,0.099,0.059,0.114,0.145,0.044,0.054,0.056,0.039,0.049,0.013,0.017,0.019,0.014,0.02,0.022,0.02,2.175,244.7,0.9,4.674,1.282,0.139,0.973,0.156,0.087,0.119,0.124,0.114,0.058,0.085,0.04,0.042,0.068,0.042,0.045,0.047,0.045,0.017,0.016,0.022,0.025,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.945,160.3,-10.35,2.762,1.839,0.354,0.457,0.137,0.481,0.343,0.292,0.312,0.198,0.152,0.083,0.049,0.045,0.061,0.032,0.026,0.043,0.032,0.027,0.045,0.038,0.038,10.2,98.98,8.547,-3.2,2.69,2.55,1.367,0.512,0.232,0.1,0.32,0.122,0.129,0.253,0.078,0.083,0.068,0.053,0.033,0.02,0.038,0.022,0.027,0.044,0.03,0.031,9.357,137.8,12.56,0.809,0.828,0.637,1.504,0.291,0.286,0.159,0.213,0.13,0.081,0.159,0.057,0.048,0.079,0.066,0.063,0.041,0.028,0.024,0.031,0.031,0.034,0.043,63.13,37.55,22.54,0.855,1.511,2.309,0.188,0.302,0.522,0.128,0.129,0.143,0.065,0.026,0.135,0.068,0.035,0.071,0.033,0.053,0.017,0.019,0.027,0.019,0.045,0.026,0.604,0.292
6,8/17/2023 5:56:00 PM,244.9,247.7,245.2,425.9,428.3,423.9,50.24,50.65,149.8,86.9,138.3,125,91620,98261.66,37030,21260,33630,0,2077.967,0,91620,98278.34,1,1,0.999,0.999,2.483,244.8,-1.462,5.695,1.325,0.132,0.422,0.3,0.272,0.225,0.174,0.196,0.18,0.097,0.111,0.069,0.069,0.098,0.035,0.08,0.054,0.031,0.038,0.036,0.012,0.025,2.392,247.6,1.108,-5.437,1.473,0.924,1.057,0.056,0.131,0.061,0.047,0.111,0.079,0.095,0.056,0.078,0.095,0.06,0.039,0.024,0.019,0.024,0.023,0.012,0.028,0.02,2.361,245.1,0.33,2.712,1.277,0.152,0.91,0.113,0.164,0.205,0.138,0.145,0.142,0.124,0.055,0.062,0.04,0.018,0.056,0.067,0.014,0.027,0.015,0.016,0.025,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.238,148.9,-10.92,4.673,1.831,0.34,0.521,0.222,0.475,0.362,0.343,0.292,0.267,0.158,0.13,0.069,0.043,0.085,0.038,0.042,0.057,0.031,0.031,0.04,0.036,0.044,11.61,85.96,7.46,-4.495,3.16,2.644,1.328,0.305,0.31,0.118,0.242,0.2,0.089,0.178,0.075,0.106,0.095,0.075,0.044,0.028,0.024,0.031,0.031,0.036,0.033,0.023,10.86,137,4.982,1.509,1.017,0.696,1.294,0.268,0.504,0.343,0.12,0.205,0.185,0.139,0.086,0.067,0.049,0.031,0.075,0.062,0.027,0.034,0.023,0.032,0.044,0.046,55.66,43.89,23.64,1.819,1.36,2.399,0.147,0.339,0.617,0.128,0.235,0.125,0.102,0.046,0.104,0.047,0.06,0.069,0.034,0.049,0.019,0.024,0.028,0.025,0.039,0.03,0.618,0.334
7,8/17/2023 6:06:00 PM,244.2,246.4,244.3,424.2,426,422.5,50.24,43.57,149.1,98.01,130.3,125.8033,91870,113573.3,36480,23920,31420,0,2077.967,0,91870,113590,1,1,0.999,0.999,2.537,243.9,-1.515,4.333,1.33,0.234,0.429,0.329,0.275,0.234,0.139,0.242,0.226,0.071,0.135,0.05,0.1,0.075,0.037,0.093,0.038,0.031,0.036,0.016,0.012,0.032,2.438,246.3,1.165,-5.53,1.488,0.884,1.003,0.049,0.122,0.08,0.074,0.107,0.119,0.084,0.081,0.063,0.11,0.082,0.034,0.037,0.02,0.022,0.035,0.016,0.022,0.017,2.532,244.2,-0.752,-0.972,1.099,0.221,0.833,0.249,0.16,0.187,0.21,0.2,0.143,0.139,0.059,0.076,0.022,0.023,0.048,0.068,0.023,0.047,0.02,0.038,0.013,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.799,148.2,-11.49,4.037,2.29,0.464,0.472,0.323,0.445,0.425,0.323,0.368,0.347,0.127,0.154,0.057,0.052,0.083,0.047,0.053,0.045,0.028,0.043,0.029,0.036,0.041,10.78,97.19,7.723,-5.048,3.668,2.64,1.266,0.269,0.336,0.129,0.272,0.229,0.16,0.167,0.091,0.094,0.099,0.094,0.059,0.041,0.022,0.029,0.029,0.037,0.03,0.023,13.93,128.5,-8.911,-1.197,1.497,0.98,1.026,0.367,0.493,0.383,0.219,0.313,0.149,0.182,0.092,0.088,0.042,0.027,0.064,0.042,0.025,0.047,0.031,0.022,0.036,0.053,79.08,34.11,26.01,2.412,1.273,2.525,0.173,0.26,0.571,0.182,0.286,0.142,0.137,0.079,0.118,0.034,0.056,0.049,0.042,0.048,0.036,0.02,0.026,0.039,0.041,0.026,0.473,0.267
8,8/17/2023 6:16:00 PM,241.2,243.3,241.6,419.4,420.8,417.6,50.1,36.7,142.9,103.9,130.6,125.8,90260,128616.7,34190,25030,30940,0,2078.873,1.812333,90260,128633.3,0.999,1,0.999,0.999,2.605,241.1,-1.57,-2.902,1.208,0.34,0.472,0.204,0.23,0.124,0.037,0.124,0.112,0.054,0.076,0.076,0.063,0.022,0.06,0.049,0.031,0.036,0.034,0.033,0.029,0.024,2.491,243.2,1.229,-5.527,1.568,0.983,1.041,0.134,0.081,0.125,0.114,0.101,0.073,0.075,0.076,0.054,0.087,0.06,0.067,0.028,0.018,0.033,0.034,0.015,0.014,0.016,2.541,241.4,-1.47,-5.72,1.135,0.226,0.848,0.189,0.11,0.171,0.213,0.143,0.149,0.18,0.106,0.094,0.041,0.066,0.056,0.039,0.043,0.03,0.023,0.052,0.015,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,141.8,-11.59,-3.383,2.564,0.61,0.474,0.183,0.429,0.33,0.195,0.219,0.161,0.076,0.106,0.054,0.033,0.056,0.038,0.025,0.034,0.031,0.029,0.053,0.026,0.04,11.62,102.9,7.891,-6.903,4.298,3.13,1.496,0.396,0.223,0.223,0.267,0.197,0.147,0.081,0.078,0.07,0.081,0.078,0.068,0.025,0.025,0.023,0.028,0.023,0.043,0.025,16.28,128.2,-17.71,-6.884,1.718,1.082,1.131,0.345,0.225,0.346,0.269,0.283,0.157,0.201,0.134,0.085,0.05,0.054,0.057,0.045,0.037,0.032,0.031,0.024,0.028,0.046,148.4,21.66,28.13,1.558,1.786,3.121,0.141,0.126,0.538,0.198,0.161,0.073,0.07,0.136,0.099,0.03,0.045,0.051,0.05,0.053,0.03,0.026,0.034,0.047,0.046,0.023,0.449,0.185
9,8/17/2023 6:26:00 PM,237.6,240.5,238.4,414,415.9,411.2,50.16,32.8,140.9,122.1,139.7,134.2333,95240,144490,33210,29080,32760,0,2078.873,0,95240,144506.7,1,1,0.999,0.999,2.636,237.5,-1.592,3.561,1.056,0.311,0.525,0.306,0.239,0.085,0.051,0.13,0.116,0.025,0.065,0.1,0.057,0.021,0.042,0.036,0.05,0.032,0.025,0.028,0.028,0.014,2.501,240.4,1.294,-4.914,1.61,1.059,0.924,0.22,0.195,0.177,0.1,0.132,0.094,0.029,0.077,0.08,0.066,0.045,0.06,0.013,0.031,0.017,0.038,0.023,0.026,0.019,2.69,238.3,-1.982,-1.771,1.042,0.477,0.892,0.305,0.07,0.176,0.311,0.133,0.21,0.161,0.173,0.094,0.051,0.066,0.04,0.031,0.058,0.033,0.012,0.03,0.02,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,139.8,-12.38,5.314,2.856,0.502,0.52,0.234,0.543,0.341,0.263,0.253,0.126,0.087,0.098,0.054,0.029,0.044,0.043,0.025,0.049,0.026,0.032,0.056,0.027,0.035,9.815,121.3,7.157,-6.431,4.793,3.321,1.456,0.571,0.386,0.297,0.299,0.186,0.144,0.084,0.093,0.054,0.073,0.059,0.058,0.031,0.031,0.024,0.03,0.023,0.043,0.028,16.83,137.5,-21.08,-2.86,2.329,1.688,1.198,0.327,0.265,0.288,0.437,0.267,0.224,0.214,0.193,0.077,0.066,0.055,0.036,0.039,0.044,0.038,0.029,0.03,0.028,0.027,251.5,12.51,28.18,1.629,1.859,3.29,0.117,0.301,0.467,0.126,0.212,0.09,0.111,0.141,0.127,0.048,0.046,0.048,0.044,0.032,0.03,0.038,0.024,0.04,0.043,0.032,0.664,0.122
10,8/17/2023 6:36:00 PM,235.6,238.9,236.6,411.2,412.7,407.8,50.22,36.9,134,125.6,125.3,128.3,90030,159495,31230,29710,28870,0,2078.873,0,90030,159511.7,1,1,0.999,0.999,2.661,235.5,-1.634,3.831,0.969,0.346,0.543,0.302,0.266,0.088,0.064,0.142,0.111,0.023,0.07,0.09,0.051,0.02,0.019,0.023,0.058,0.017,0.023,0.027,0.018,0.015,2.552,238.8,1.415,0.723,1.659,0.555,0.884,0.193,0.238,0.198,0.104,0.163,0.092,0.012,0.096,0.09,0.054,0.032,0.051,0.021,0.024,0.023,0.032,0.021,0.021,0.015,2.752,236.5,-2.058,-4.062,1.028,0.443,0.917,0.358,0.107,0.236,0.363,0.18,0.202,0.136,0.216,0.113,0.073,0.078,0.027,0.03,0.089,0.063,0.022,0.028,0.029,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71,132.6,-13.12,6.19,3.232,0.636,0.51,0.2,0.596,0.314,0.257,0.274,0.144,0.077,0.093,0.061,0.024,0.04,0.036,0.024,0.053,0.03,0.032,0.056,0.025,0.038,10.52,124.7,7.407,1.555,5.293,1.738,1.463,0.575,0.46,0.313,0.29,0.237,0.117,0.055,0.131,0.077,0.084,0.06,0.043,0.03,0.034,0.021,0.032,0.023,0.046,0.028,20.15,122.1,-21.61,-7.313,2.754,1.658,1.327,0.402,0.334,0.294,0.523,0.326,0.233,0.206,0.258,0.102,0.09,0.087,0.035,0.038,0.063,0.051,0.037,0.032,0.025,0.022,214.6,17.65,29.17,1.655,2.193,3.483,0.142,0.366,0.443,0.123,0.229,0.088,0.139,0.122,0.133,0.071,0.038,0.049,0.041,0.032,0.042,0.043,0.021,0.039,0.047,0.031,0.716,0.122
